,Zip_simple,tot_accidents
672,48213,1146
673,08031,1146
674,92405,1146
675,98125,1146
676,80011,1146
677,33607,1144
678,33405,1144
679,27502,1143
680,91006,1143
681,91387,1140
682,33309,1136
683,91367,1134
684,92570,1133
685,33157,1133
686,91789,1132
687,75236,1131
688,19104,1131
689,77088,1130
690,77093,1129
691,30901,1128
692,92029,1127
693,68114,1123
694,78233,1122
695,95330,1122
696,60609,1121
697,95842,1119
698,77098,1119
699,29588,1118
700,60607,1117
701,14624,1117
702,73013,1115
703,90240,1114
704,32808,1111
705,41017,1111
706,92881,1110
707,90806,1108
708,60045,1108
709,95667,1106
710,92691,1105
711,94025,1104
712,84120,1102
713,19426,1101
714,45459,1098
715,33609,1096
716,55101,1096
717,32817,1094
718,60187,1094
719,68106,1094
720,32807,1093
721,68107,1092
722,27540,1091
723,92555,1090
724,77055,1089
725,77075,1087
726,30310,1085
727,30349,1085
728,11364,1083
729,94903,1083
730,98003,1082
731,73128,1082
732,32254,1082
733,33602,1081
734,76119,1080
735,77006,1079
736,95661,1079
737,79915,1079
738,90301,1078
739,98105,1077
740,30071,1077
741,95122,1077
742,21230,1076
743,95618,1076
744,28278,1076
745,77035,1075
746,92410,1074
747,10460,1073
748,29720,1072
749,97520,1072
750,95054,1072
751,76102,1071
752,55117,1070
753,91502,1070
754,40299,1069
755,29349,1066
756,84405,1062
757,90065,1062
758,85713,1059
759,85706,1058
760,73170,1057
761,75219,1056
762,92571,1055
763,95824,1055
764,85034,1055
765,19006,1055
766,94965,1054
767,38118,1052
768,93908,1049
769,30904,1049
770,90220,1047
771,43015,1046
772,55025,1045
773,46227,1045
774,29649,1045
775,29405,1045
776,93001,1043
777,78207,1042
778,95403,1042
779,75006,1041
780,48473,1041
781,90260,1039
782,84401,1039
783,95670,1038
784,27587,1038
785,22191,1036
786,94526,1034
787,33435,1033
788,48174,1031
789,33905,1031
790,07105,1030
791,68123,1029
792,91411,1026
793,29730,1026
794,70817,1026
795,95820,1025
796,93304,1024
797,46219,1024
798,90042,1024
799,92831,1022
800,97230,1021
801,46241,1020
802,78218,1020
803,37215,1020
804,97305,1018
805,32204,1018
806,77096,1017
807,97266,1017
808,80239,1017
809,77023,1017
810,84404,1016
811,90017,1016
812,29640,1015
813,02904,1015
814,29172,1015
815,97219,1014
816,77041,1014
817,60555,1014
818,78223,1013
819,92504,1013
820,92026,1013
821,27613,1013
822,92612,1013
823,17403,1012
824,68134,1009
825,98133,1009
826,55439,1008
827,10523,1006
828,91011,1006
829,55110,1005
830,78212,1003
831,75218,1003
832,95206,1002
833,33444,1002
834,77045,1002
835,75244,1002
836,12065,1000
837,84095,998
838,60060,998
839,85040,997
840,48509,997
841,33912,993
842,11378,993
843,33716,992
844,91744,991
845,92145,990
846,19004,990
847,92373,990
848,98103,990
849,30084,988
850,32822,988
851,10954,988
852,91784,987
853,37604,987
854,08054,987
855,33714,987
856,85226,984
857,32810,983
858,74135,982
859,77091,982
860,94610,982
861,93551,981
862,91763,981
863,60621,981
864,29169,980
865,60521,980
866,33713,979
867,90746,979
868,94901,979
869,12533,978
